Timestamp,Potencia activa ADT02,Caudal Turbinado,Nivel de cota de embalse,Temperatura aceite caliente cojinete axial,Temperatura aceite frio cojinete axial,Temperatura entrada agua enfriam. aceite,Temperatura salida agua  enfriam. aceite,Temperatura bobinado fase U,Temperatura bobinado fase V,Temperatura bobinado fase W,Apertura Distribuidor,Temperatura metal cojinete Axial x1,Temperatura metal cojinete Axial x2,Temperatura metal cojinete Axial x3,Temperatura metal cojinete Axial x4,Temperatura metal cojinete Axial x5,Temperatura metal cojinete Axial x6,Temperatura metal cojinete Axial x7,Temperatura metal cojinete Axial x8,Temperatura metal cojinete Axial x9,Temperatura metal cojinete Axial x10,Temperatura metal cojinete Axial x11,Temperatura metal cojinete Axial x12,Vibracion absoluta superior X,Vibracion absoluta turbina X,Vibracion relativa inferior X,Vibracion relativa inferior Y,Vibracion relativa superior X,Vibracion relativa superior Y,Vibracion relativa turbina X,Vibracion relativa turbina Y
2024-07-01T13:30:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,1.11180651,0.9457255,212.38559,217.045761,224.716156,195.425934,279.343872,289.388367
2024-07-01T14:00:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,1.09726369,0.79172,216.130966,222.537384,219.165161,196.721054,291.246552,302.230957
2024-07-01T14:30:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,1.08272088,0.8166124,222.8861,220.272385,217.925491,192.503357,294.7158,310.050232
2024-07-01T15:00:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,1.06817794,0.7968707,223.7133,235.365646,219.034653,192.5425,300.622223,313.080627
2024-07-01T15:30:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,1.05363512,0.8076811,225.043381,224.776031,220.3753,194.1556,304.098419,308.018036
2024-07-01T16:00:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,1.0390923,0.392160565,215.879227,216.318558,215.388535,193.03447,273.6209,287.5511
2024-07-01T16:30:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,1.02454948,0.5430566,212.28569,216.2891,215.365921,191.638992,287.0305,297.5906
2024-07-01T17:00:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,1.01000667,0.554478,213.849915,212.5616,215.945831,192.284683,291.7627,300.037384
2024-07-01T17:30:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,0.9954638,0.565899432,214.323135,215.06633,216.966309,191.863281,287.47052,302.1484
2024-07-01T18:00:00Z,-0.100242615,0.0,1337.12,12.7958336,11.7112827,13.2376919,21.15381,34.53576,34.4146347,36.43343,0.0336284637,30.5789223,30.7404213,30.6596718,30.6596718,30.82117,30.5385475,30.5385475,30.5789223,30.5385475,30.7404213,30.7404213,30.7000465,0.980921,0.5773209,216.382675,217.737991,215.856979,192.268524,292.117828,301.112061
